,id,x,y,shootZone,minute,period,footName,xg,types,shotOutcome,possession,player,shootZonePoint,oldShootZonePoint
0,2166864813,80,30,otr,2,1,right,0.0269123726,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_to_far_corner', 'shot_wide', 'touch_in_final_third']",wide,"['Opportunity', 'Shot', 'Attack', 'Throw in']",T. Peers,"{'top': '-5%', 'right': '19%'}",
1,2166865397,87,28,gb,29,1,right,0.0451421812,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack']",B. Tollitt,"{'top': '90%', 'left': '38%'}",
2,2166865513,73,50,otr,31,1,right,0.0237251595,"['action', 'minus', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_wide', 'touch_in_final_third']",wide,"['Shot', 'Attack']",D. Weeks,"{'top': '-5%', 'right': '13%'}",
3,2166865533,78,45,olb,33,1,left,0.0488928817,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'received_dangerous_pass', 'received_pass', 'received_pass_in_final_third', 'received_progressive_pass', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_wide', 'touch_in_final_third']",wide,"['Opportunity', 'Shot', 'Attack']",R. Daly,"{'top': '84%', 'left': '-5%'}",
4,2166865694,84,65,bc,41,1,right,0.0945784748,"['action', 'blocked_shot', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Opportunity', 'Shot', 'Attack']",D. Weeks,"{'top': '5%', 'left': '36%'}",
5,2166866021,83,36,bc,59,2,right,0.0051404568,"['action', 'blocked_shot', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack', 'Throw in']",B. Tollitt,"{'top': '19%', 'left': '35%'}",
6,2166866861,91,31,ptl,59,2,left,0.1016466916,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_post', 'shot_to_near_corner', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",post,"['Opportunity', 'Shot', 'Attack']",N. Woodthorpe,"{'top': '1%', 'left': '6%'}",
7,2166866146,80,70,gb,67,2,left,0.0186580569,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'received_dangerous_pass', 'received_pass', 'received_pass_in_final_third', 'received_pass_in_final_third_on_side', 'received_progressive_pass', 'shot', 'shot_after_throw_in', 'shot_from_outside_area', 'shot_from_play', 'shot_on_goal', 'touch_in_final_third']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack', 'Throw in']",C. Caton,"{'top': '85%', 'left': '59%'}",
8,2166866209,75,50,otr,69,2,right,0.0106349364,"['action', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_wide', 'touch_in_final_third']",wide,"['Shot', 'Attack']",R. Daly,"{'top': '-5%', 'right': '15%'}",
9,2166866267,76,42,bc,73,2,right,0.0265659951,"['action', 'blocked_shot', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack']",B. Tollitt,"{'top': '58%', 'left': '63%'}",
10,2166866337,93,44,gt,77,2,head,0.2092734724,"['action', 'head_shot', 'heading', 'highlight', 'opportunity', 'shot', 'shot_after_corner', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Corner', 'Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack']",K. Burton,"{'top': '1%', 'left': '65%'}",
11,2166866456,76,58,bc,80,2,right,0.0109349601,"['action', 'blocked_shot', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Set piece attack', 'Attack', 'Free kick']",M. Williams,"{'top': '73%', 'left': '52%'}",
12,2166866785,90,49,bc,92,2,left,0.1547143459,"['action', 'blocked_shot', 'left_foot_shot', 'shot', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Shot', 'Attack']",C. Norton,"{'top': '79%', 'left': '27%'}",
13,2166866822,87,74,gbr,94,2,left,0.0146243731,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'shot_to_near_corner', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack', 'Throw in']",C. Caton,"{'top': '91%', 'left': '80%'}",
14,2160854079,80,47,or,3,1,right,0.050756,"['action', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_wide', 'touch_in_final_third']",wide,"['Shot', 'Attack']",M. Coulson,"{'top': '65%', 'right': '-7.5%'}",
15,2160854915,77,64,bc,56,2,right,0.0016722081,"['action', 'blocked_shot', 'received_pass', 'received_pass_in_final_third', 'received_progressive_pass', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack', 'Throw in']",D. Stephenson,"{'top': '18%', 'left': '4%'}",
16,2160854925,80,33,bc,57,2,right,0.0383513831,"['action', 'blocked_shot', 'right_foot_shot', 'shot', 'shot_after_throw_in', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack']",C. Branson,"{'top': '0%', 'left': '85%'}",
17,2160854977,94,48,gc,68,2,head,0.2109616101,"['action', 'head_shot', 'heading', 'highlight', 'opportunity', 'shot', 'shot_after_free_kick', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Set piece attack', 'Attack', 'Free kick', 'Free kick cross']",C. Branson,"{'top': '54%', 'left': '56%'}",
18,2160855058,74,60,bc,83,2,right,0.0430152044,"['action', 'blocked_shot', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack']",R. Watson,"{'top': '89%', 'left': '82%'}",
19,2160855059,95,66,gb,83,2,right,0.1975385696,"['action', 'any_goal', 'goal', 'highlight', 'non_penalty_goal', 'opportunity', 'right_foot_goal', 'right_foot_shot', 'shot', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",goal,"['Opportunity', 'Shot', 'Shot on goal', 'Attack', 'Goal']",B. Atkinson,"{'top': '90%', 'left': '65%'}",
20,2160855153,86,38,bc,96,2,left,0.0079652462,"['action', 'blocked_shot', 'left_foot_shot', 'shot', 'shot_after_throw_in', 'shot_from_box', 'shot_from_danger_zone', 'shot_from_penalty_area', 'shot_from_play', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",blocked,"['Shot', 'Attack', 'Throw in']",S. Leverett,"{'top': '85%', 'left': '53%'}",
21,2160855177,95,33,gc,98,2,left,0.0828442648,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'received_dangerous_pass', 'received_deep_completion', 'received_pass', 'received_pass_in_final_third', 'received_pass_in_final_third_on_side', 'received_progressive_pass', 'received_very_deep_completion', 'shot', 'shot_after_received_deep_completion', 'shot_after_received_very_deep_completion', 'shot_from_box', 'shot_from_penalty_area', 'shot_from_play', 'shot_on_goal', 'touch_in_box', 'touch_in_final_third', 'touch_in_penalty_area']",gk_save,"['Opportunity', 'Shot', 'Shot on goal', 'Attack']",C. Donaldson,"{'top': '63%', 'left': '59%'}",
22,2149955929,75,47,ptl,39,1,left,0.025064474,"['action', 'highlight', 'left_foot_shot', 'opportunity', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_on_post', 'touch_in_final_third']",post,"['Opportunity', 'Shot', 'Attack', 'Smart pass inside opponent goal']",D. Lloyd-McGoldrick,"{'top': '1%', 'left': '18%'}",
23,2149955973,81,44,otl,40,1,right,0.0685640723,"['action', 'highlight', 'opportunity', 'right_foot_shot', 'shot', 'shot_after_corner', 'shot_from_outside_area', 'shot_from_play', 'shot_to_near_corner', 'shot_wide', 'touch_in_final_third']",wide,"['Corner', 'Opportunity', 'Shot', 'Set piece attack', 'Attack']",D. Philliskirk,"{'top': '-5%', 'left': '0%'}",
24,2149956520,67,60,bc,69,2,right,0.0095402757,"['action', 'blocked_shot', 'right_foot_shot', 'shot', 'shot_after_throw_in', 'shot_from_outside_area', 'shot_from_play', 'touch_in_final_third']",blocked,"['Shot', 'Attack', 'Throw in']",A. Anson,"{'top': '83%', 'left': '85%'}",
25,2149956528,75,43,otr,70,2,right,0.0357987061,"['action', 'right_foot_shot', 'shot', 'shot_from_outside_area', 'shot_from_play', 'shot_to_far_corner', 'shot_wide', 'touch_in_final_third']",wide,"['Shot', 'Attack']",D. Morgan,"{'top': '-5%', 'right': '6%'}",
